countrycode,countryname,cluster,proba_0,proba_1,proba_2,proba_3,proba_4,proba_5,proba_6,dist_to_centroid_euclid,dist_to_centroid_mahalanobis
BHS,"Bahamas, The",0,0.9999975840633997,0.0,2.4159298674195757e-06,0.0,6.732921899577223e-12,2.8574279107419785e-83,0.0,1.6629335029403056,4.783581362094544
BIH,Bosnia and Herzegovina,2,0.3306763244587833,0.0,0.6518384512127982,0.0,0.01748522432841851,9.00703527955487e-87,0.0,2.2078332506745593,4.02912636674436
BLR,Belarus,0,0.9956068133681439,0.0,4.3815668215541105e-25,0.0,0.004393186631856114,4.937474299048765e-60,0.0,1.318370420574014,2.5629190274396993
BLZ,Belize,0,0.9999999999766678,0.0,1.372815554151214e-19,0.0,2.3332273535981667e-11,3.0381595974276197e-69,0.0,2.310579474384793,3.184087909450358
BOL,Bolivia,0,0.9999652411454698,0.0,4.528614721697734e-19,0.0,3.4758854530194145e-05,7.33735133169819e-121,0.0,1.0747604624917475,3.9335443866835487
BRA,Brazil,2,0.01167662605225754,0.0,0.9811595018079508,0.0,0.007163872139791647,3.0866798490541276e-75,0.0,1.8467677987666857,3.9318210728866703
BRB,Barbados,2,0.04776175308574004,0.0,0.9522263926159699,0.0,1.1854298290226296e-05,6.51065169562213e-128,0.0,1.277138136941052,3.256454222678688
BRN,Brunei,0,0.9999999999711033,0.0,1.397715312529062e-13,0.0,2.8756885610573547e-11,2.4206807600520508e-93,0.0,1.5761449710079927,3.6226546882777684
BTN,Bhutan,0,0.9907621727241462,0.0,8.174058008742983e-37,0.0,0.009237827275853788,1.8504154042552247e-63,0.0,0.988684093584368,3.292112684200736
BWA,Botswana,0,0.9999993414508862,0.0,1.507655556196962e-20,0.0,6.585491138151128e-07,4.558692460016806e-73,0.0,1.6807740879564155,2.591272556963597
CAF,Central African Republic,3,1.7903122167982223e-34,0.0,1.0319610621228064e-54,1.0,4.646158705584732e-27,5.717609900241451e-54,0.0,2.2053569022756565,2.4494735155514618
CAN,Canada,2,0.004872116080904674,0.0,0.9951278839176864,0.0,1.4091461255443895e-12,2.85921724290231e-190,0.0,0.7757258108724144,2.4071682696966787
CHE,Switzerland,2,5.595676150971213e-05,0.0,0.9999440208452625,0.0,2.2393227453362954e-08,8.339211050845822e-178,0.0,1.1106625261478773,2.741432364860808
CHL,Chile,0,0.9999971835121092,0.0,2.765097878409901e-06,0.0,5.139001222236502e-08,8.645310910152012e-90,0.0,1.4372137537244813,2.328398810198571
CHN,China,0,1.0,0.0,4.88549869766791e-22,0.0,1.5905564029076515e-20,2.279414011667943e-120,0.0,3.0174237091652567,4.678059850535143
CIV,Cote d'Ivoire,4,3.937823481407488e-06,0.0,5.331429410745301e-69,0.0,0.9999960621765188,2.2362823961413564e-24,0.0,1.801042957700821,4.539768695923821
CMR,Cameroon,4,4.579129554514976e-05,0.0,8.00404694900881e-92,0.0,0.999954208704455,2.003377259054784e-22,0.0,1.3149069985509512,4.090623452850037
COD,"Congo, Democratic Republic of the",5,2.8163366891506274e-19,0.0,2.960480295856603e-88,0.0,1.1760712426261685e-08,0.9999999882392875,0.0,1.485862605469739,3.1610941212273436
COG,"Congo, Republic of the",5,3.4389050446236435e-25,0.0,7.0616861966237986e-68,0.0,1.8524681898919428e-22,1.0,0.0,1.9468374570396592,3.161838568196849
COL,Colombia,0,0.9975678429813298,0.0,1.9188680836955653e-07,0.0,0.0024319651318616456,1.3259275249164532e-65,0.0,0.674724221275348,1.7770264538060914
COM,Comoros,5,2.729611446918359e-16,0.0,5.334286149375255e-74,0.0,0.0002550294173036461,0.9997449705826961,0.0,1.600911229452521,3.1608322784812444
CPV,Cabo Verde,0,0.9999992974915922,0.0,6.7840507580915975e-12,0.0,7.025016237503902e-07,5.607162167731499e-89,0.0,1.2625442979175354,2.8573337522581244
CRI,Costa Rica,0,0.9999923757571566,0.0,9.080987397816064e-12,0.0,7.6242337624077626e-06,5.488335601820436e-62,0.0,1.378457289062645,2.839719028297662
CUB,Cuba,1,6.695201689456647e-24,1.0,4.598976749385926e-83,0.0,9.097030100665557e-57,1.431878864866922e-280,0.0,3.6174980517177207,2.4494891436059794
CYP,Cyprus,2,9.713039240257973e-08,0.0,0.9999999028696067,0.0,9.39068056955111e-16,1.0718060554832995e-188,0.0,0.5907174300039854,3.0225342952780303
CZE,Czechia,2,0.0014720210697338658,0.0,0.9985279788506352,0.0,7.963073326768817e-11,8.104608478857811e-162,0.0,0.8828557240155379,2.2267274012726626
DEU,Germany,2,4.30840792259991e-10,0.0,0.9999999995689395,0.0,2.194323218097394e-13,2.447392672653894e-163,0.0,1.1978560039496424,2.4308061306858
DJI,Djibouti,3,1.2244420415880777e-25,0.0,1.3212725172015907e-25,0.9999999999999218,7.948197635625445e-14,6.644899327758805e-48,0.0,1.2738836026593006,2.4494555006379444
DMA,Dominica,0,1.0,0.0,8.1958323277946895e-19,0.0,5.859828238480606e-20,4.3877910803682e-99,0.0,2.725012229597139,5.058672925547821
DNK,Denmark,2,0.00014207846485373414,0.0,0.9998579214947353,0.0,4.041140634611787e-11,4.0220819254034534e-115,0.0,0.8623427606316316,2.414446128311444
DOM,Dominican Republic,0,0.9949874753244936,0.0,2.4856199553434302e-27,0.0,0.005012524675506275,2.5036826334285285e-58,0.0,1.4799161141078825,4.389467321209506
DZA,Algeria,4,0.058113050356771195,0.0,1.060219613393294e-11,0.0,0.9418869496326265,7.4340428307706015e-90,0.0,1.6032366056621303,3.28284137805093
ECU,Ecuador,0,0.9999999687934786,0.0,3.4594205604660604e-10,0.0,3.0860579278956897e-08,7.231515853727146e-80,0.0,0.8729524952660241,2.807923718194454
EGY,Egypt,4,0.01811447208464802,0.0,4.5305810682445394e-08,0.0,0.9818854826095413,2.3846404041784117e-89,0.0,1.748986500887558,3.600892794534329
ERI,Eritrea,3,2.1790925642168972e-33,0.0,1.111992999902942e-27,0.9999999999999858,1.4723125058078876e-14,1.6292920968426612e-57,0.0,1.689424186655689,2.449472875626053
ESP,Spain,2,1.7603187873025128e-08,0.0,0.9999999823968059,0.0,6.15956656256823e-15,7.50083643930724e-151,0.0,0.6441388198816795,4.62653815772818
EST,Estonia,2,0.01225759930586472,0.0,0.9877424005717015,0.0,1.224336112894839e-10,1.6301083680285946e-169,0.0,1.3152203883345712,3.057977761590362
